cp_id,case_id,person_id,role,narrative
CP-0001,CASE-0915,PERSON-0001,PERSON_OF_INTEREST,Santosh Chatterjee identified as an analytical lead in connection with Kidnapping and Extortion Case at Varanasi.
CP-0002,CASE-0783,PERSON-0001,ASSOCIATE,Santosh Chatterjee identified as an analytical lead in connection with Forged Documentation and Property Fraud in Raipur.
CP-0003,CASE-1138,PERSON-0001,ASSOCIATE,Santosh Chatterjee identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Delhi.
CP-0004,CASE-0322,PERSON-0001,SUSPECT,Santosh Chatterjee identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Surat.
CP-0005,CASE-0934,PERSON-0002,ASSOCIATE,Rohit Singh identified as an analytical lead in connection with Threat and Extortion Racket in Durg.
CP-0006,CASE-0566,PERSON-0002,SUSPECT,Rohit Singh identified as an analytical lead in connection with Threat and Extortion Racket in Pune.
CP-0007,CASE-0406,PERSON-0002,PERSON_OF_INTEREST,Rohit Singh identified as an analytical lead in connection with Forged Documentation and Property Fraud in Lucknow.
CP-0008,CASE-1243,PERSON-0002,SUSPECT,Rohit Singh identified as an analytical lead in connection with Nocturnal Commercial Burglary in Chennai.
CP-0009,CASE-0929,PERSON-0002,ASSOCIATE,Rohit Singh identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Siliguri.
CP-0010,CASE-0254,PERSON-0003,PERSON_OF_INTEREST,Vijay Banerjee identified as an analytical lead in connection with Targeted Homicide Investigation in Bilaspur.
CP-0011,CASE-0108,PERSON-0003,ASSOCIATE,Vijay Banerjee identified as an analytical lead in connection with Targeted Homicide Investigation in Delhi.
CP-0012,CASE-0669,PERSON-0003,ASSOCIATE,Vijay Banerjee identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Lucknow.
CP-0013,CASE-0646,PERSON-0004,PERSON_OF_INTEREST,Ashok Shukla identified as an analytical lead in connection with Kidnapping and Extortion Case at Varanasi.
