transaction_id,case_id,source_person_id,target_person_id,source_account_id,target_account_id,amount,description
TXN-0001,CASE-1190,PERSON-0542,PERSON-0307,BANK-0092,BANK-0307,75000,Synthetic transaction record: PERSON-0542 transferred INR 75000 to PERSON-0307 linked to CASE-1190.
TXN-0002,CASE-0674,PERSON-0831,PERSON-0102,BANK-0381,BANK-0102,75000,Synthetic transaction record: PERSON-0831 transferred INR 75000 to PERSON-0102 linked to CASE-0674.
TXN-0003,CASE-0423,PERSON-0436,PERSON-0509,BANK-0436,BANK-0059,50000,Synthetic transaction record: PERSON-0436 transferred INR 50000 to PERSON-0509 linked to CASE-0423.
TXN-0004,CASE-1072,PERSON-0401,PERSON-0536,BANK-0401,BANK-0086,25000,Synthetic transaction record: PERSON-0401 transferred INR 25000 to PERSON-0536 linked to CASE-1072.
TXN-0005,CASE-0170,PERSON-0187,PERSON-0744,BANK-0187,BANK-0294,50000,Synthetic transaction record: PERSON-0187 transferred INR 50000 to PERSON-0744 linked to CASE-0170.
TXN-0006,CASE-0061,PERSON-0215,PERSON-0541,BANK-0215,BANK-0091,250000,Synthetic transaction record: PERSON-0215 transferred INR 250000 to PERSON-0541 linked to CASE-0061.
TXN-0007,CASE-0700,PERSON-0771,PERSON-0445,BANK-0321,BANK-0445,250000,Synthetic transaction record: PERSON-0771 transferred INR 250000 to PERSON-0445 linked to CASE-0700.
TXN-0008,CASE-0234,PERSON-0794,PERSON-0084,BANK-0344,BANK-0084,250000,Synthetic transaction record: PERSON-0794 transferred INR 250000 to PERSON-0084 linked to CASE-0234.
TXN-0009,CASE-0504,PERSON-0625,PERSON-0504,BANK-0175,BANK-0054,250000,Synthetic transaction record: PERSON-0625 transferred INR 250000 to PERSON-0504 linked to CASE-0504.
TXN-0010,CASE-0164,PERSON-0282,PERSON-0968,BANK-0282,BANK-0068,75000,Synthetic transaction record: PERSON-0282 transferred INR 75000 to PERSON-0968 linked to CASE-0164.
TXN-0011,CASE-1181,PERSON-0012,PERSON-0909,BANK-0012,BANK-0009,25000,Synthetic transaction record: PERSON-0012 transferred INR 25000 to PERSON-0909 linked to CASE-1181.
TXN-0012,CASE-1174,PERSON-0646,PERSON-0867,BANK-0196,BANK-0417,50000,Synthetic transaction record: PERSON-0646 transferred INR 50000 to PERSON-0867 linked to CASE-1174.
TXN-0013,CASE-0216,PERSON-0456,PERSON-0480,BANK-0006,BANK-0030,250000,Synthetic transaction record: PERSON-0456 transferred INR 250000 to PERSON-0480 linked to CASE-0216.
