family_id,person_id,related_person_id,relationship_subtype,notes
FAM-001,PERSON-001,PERSON-005,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-002,PERSON-005,PERSON-001,CHILD,Synthetic family record. Family relationship does not imply case involvement.
FAM-003,PERSON-002,PERSON-003,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-004,PERSON-003,PERSON-002,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-005,PERSON-006,PERSON-010,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-006,PERSON-010,PERSON-006,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-007,PERSON-007,PERSON-008,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-008,PERSON-008,PERSON-007,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-009,PERSON-011,PERSON-014,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-010,PERSON-014,PERSON-011,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-011,PERSON-012,PERSON-015,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-012,PERSON-015,PERSON-012,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-013,PERSON-016,PERSON-017,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-014,PERSON-017,PERSON-016,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-015,PERSON-019,PERSON-022,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-016,PERSON-022,PERSON-019,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-017,PERSON-023,PERSON-027,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-018,PERSON-027,PERSON-023,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-019,PERSON-023,PERSON-026,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-020,PERSON-026,PERSON-023,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-021,PERSON-028,PERSON-030,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-022,PERSON-030,PERSON-028,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-023,PERSON-038,PERSON-133,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-024,PERSON-053,PERSON-058,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-025,PERSON-190,PERSON-071,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-026,PERSON-199,PERSON-131,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-027,PERSON-090,PERSON-095,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
