case_id,fir_number,offence_category,title,legal_section,year,location,district,police_station,status
CASE-0001,FIR-2021-0001,Burglary,Nocturnal Commercial Burglary in Mumbai,IPC 457/380,2021,Mumbai,Mumbai City,Colaba,OPEN
CASE-0002,FIR-2022-0002,Assault,Physical Assault and Grievous Hurt Case at Ahmedabad,IPC 323/325,2022,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0003,FIR-2024-0003,Robbery,Armed Robbery Incident at Surat,IPC 392/397,2024,Surat,Surat,Varachha,OPEN
CASE-0004,FIR-2022-0004,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2022,Kolkata,Kolkata,Park Street,OPEN
CASE-0005,FIR-2022-0005,Assault,Physical Assault and Grievous Hurt Case at Kolkata,IPC 323/325,2022,Kolkata,Kolkata,Park Street,OPEN
CASE-0006,FIR-2021-0006,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2021,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0007,FIR-2024-0007,Fraud,Commercial Fraud and Embezzlement Syndicate at Mumbai,IPC 420/406,2024,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0008,FIR-2022-0008,Robbery,Armed Robbery Incident at Durg,IPC 392/397,2022,Durg,Durg,Durg Sadar,CLOSED
CASE-0009,FIR-2023-0009,Cybercrime,Digital Identity Theft and Financial Scam at Durg,IT Act 66D / IPC 420,2023,Durg,Durg,Durg Sadar,CLOSED
CASE-0010,FIR-2024-0010,Fraud,Commercial Fraud and Embezzlement Syndicate at Durg,IPC 420/406,2024,Durg,Durg,Durg Sadar,OPEN
CASE-0011,FIR-2022-0011,Extortion,Threat and Extortion Racket in Surat,IPC 384/386,2022,Surat,Surat,Varachha,OPEN
CASE-0012,FIR-2022-0012,Murder,Targeted Homicide Investigation in Siliguri,IPC 302/120B,2022,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0013,FIR-2023-0013,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2023,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0014,FIR-2021-0014,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2021,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0015,FIR-2024-0015,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2024,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0016,FIR-2022-0016,Fraud,Commercial Fraud and Embezzlement Syndicate at Durg,IPC 420/406,2022,Durg,Durg,Durg Sadar,OPEN
CASE-0017,FIR-2024-0017,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2024,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0018,FIR-2023-0018,Fraud,Commercial Fraud and Embezzlement Syndicate at Howrah,IPC 420/406,2023,Howrah,Howrah,Howrah Town,OPEN
CASE-0019,FIR-2022-0019,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0020,FIR-2021-0020,Kidnapping,Kidnapping and Extortion Case at Raipur,IPC 363/364A,2021,Raipur,Raipur,Civil Lines,OPEN
CASE-0021,FIR-2022-0021,Criminal Intimidation,Intimidation and Witness Tampering at Pune,IPC 506,2022,Pune,Pune,Shivajinagar,OPEN
CASE-0022,FIR-2021-0022,Fraud,Commercial Fraud and Embezzlement Syndicate at Varanasi,IPC 420/406,2021,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0023,FIR-2023-0023,Fraud,Commercial Fraud and Embezzlement Syndicate at Ahmedabad,IPC 420/406,2023,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0024,FIR-2021-0024,Extortion,Threat and Extortion Racket in Howrah,IPC 384/386,2021,Howrah,Howrah,Howrah Town,CLOSED
CASE-0025,FIR-2023-0025,Cybercrime,Digital Identity Theft and Financial Scam at Pune,IT Act 66D / IPC 420,2023,Pune,Pune,Shivajinagar,CLOSED
CASE-0026,FIR-2023-0026,Theft,Serial Asset and Vehicle Theft in Lucknow,IPC 379,2023,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0027,FIR-2024-0027,Fraud,Commercial Fraud and Embezzlement Syndicate at Bilaspur,IPC 420/406,2024,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0028,FIR-2021-0028,Extortion,Threat and Extortion Racket in Siliguri,IPC 384/386,2021,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0029,FIR-2022-0029,Criminal Intimidation,Intimidation and Witness Tampering at Bilaspur,IPC 506,2022,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0030,FIR-2023-0030,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0031,FIR-2022-0031,Burglary,Nocturnal Commercial Burglary in Bilaspur,IPC 457/380,2022,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0032,FIR-2023-0032,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2023,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0033,FIR-2023-0033,Assault,Physical Assault and Grievous Hurt Case at Nagpur,IPC 323/325,2023,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0034,FIR-2021-0034,Extortion,Threat and Extortion Racket in Delhi,IPC 384/386,2021,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0035,FIR-2021-0035,Assault,Physical Assault and Grievous Hurt Case at Surat,IPC 323/325,2021,Surat,Surat,Varachha,OPEN
CASE-0036,FIR-2023-0036,Fraud,Commercial Fraud and Embezzlement Syndicate at Siliguri,IPC 420/406,2023,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0037,FIR-2022-0037,Murder,Targeted Homicide Investigation in Kolkata,IPC 302/120B,2022,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0038,FIR-2021-0038,Robbery,Armed Robbery Incident at Ahmedabad,IPC 392/397,2021,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0039,FIR-2024-0039,Assault,Physical Assault and Grievous Hurt Case at Delhi,IPC 323/325,2024,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0040,FIR-2022-0040,Fraud,Commercial Fraud and Embezzlement Syndicate at Bilaspur,IPC 420/406,2022,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0041,FIR-2021-0041,Murder,Targeted Homicide Investigation in Bilaspur,IPC 302/120B,2021,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0042,FIR-2023-0042,Assault,Physical Assault and Grievous Hurt Case at Delhi,IPC 323/325,2023,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0043,FIR-2023-0043,Forgery,Forged Documentation and Property Fraud in Mumbai,IPC 467/468/471,2023,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0044,FIR-2021-0044,Cybercrime,Digital Identity Theft and Financial Scam at Durg,IT Act 66D / IPC 420,2021,Durg,Durg,Durg Sadar,OPEN
CASE-0045,FIR-2022-0045,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2022,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0046,FIR-2023-0046,Fraud,Commercial Fraud and Embezzlement Syndicate at Siliguri,IPC 420/406,2023,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0047,FIR-2022-0047,Kidnapping,Kidnapping and Extortion Case at Durg,IPC 363/364A,2022,Durg,Durg,Durg Sadar,OPEN
CASE-0048,FIR-2023-0048,Kidnapping,Kidnapping and Extortion Case at Nagpur,IPC 363/364A,2023,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0049,FIR-2022-0049,Assault,Physical Assault and Grievous Hurt Case at Mumbai,IPC 323/325,2022,Mumbai,Mumbai City,Colaba,OPEN
CASE-0050,FIR-2023-0050,Murder,Targeted Homicide Investigation in Mumbai,IPC 302/120B,2023,Mumbai,Mumbai Suburban,Bandra,CLOSED
CASE-0051,FIR-2023-0051,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2023,Kolkata,Kolkata,Park Street,OPEN
CASE-0052,FIR-2023-0052,Fraud,Commercial Fraud and Embezzlement Syndicate at Raipur,IPC 420/406,2023,Raipur,Raipur,Civil Lines,CLOSED
CASE-0053,FIR-2021-0053,Assault,Physical Assault and Grievous Hurt Case at Lucknow,IPC 323/325,2021,Lucknow,Lucknow,Hazratganj,CLOSED
CASE-0054,FIR-2022-0054,Robbery,Armed Robbery Incident at Mumbai,IPC 392/397,2022,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0055,FIR-2023-0055,Forgery,Forged Documentation and Property Fraud in Pune,IPC 467/468/471,2023,Pune,Pune,Shivajinagar,OPEN
CASE-0056,FIR-2022-0056,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2022,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0057,FIR-2022-0057,Robbery,Armed Robbery Incident at Nagpur,IPC 392/397,2022,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0058,FIR-2022-0058,Extortion,Threat and Extortion Racket in Ahmedabad,IPC 384/386,2022,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0059,FIR-2024-0059,Cybercrime,Digital Identity Theft and Financial Scam at Bilaspur,IT Act 66D / IPC 420,2024,Bilaspur,Bilaspur,City Kotwali,CLOSED
CASE-0060,FIR-2021-0060,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0061,FIR-2022-0061,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2022,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0062,FIR-2022-0062,Extortion,Threat and Extortion Racket in Delhi,IPC 384/386,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0063,FIR-2021-0063,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2021,Delhi,Central Delhi,Connaught Place,CLOSED
CASE-0064,FIR-2021-0064,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2021,Kolkata,Kolkata,Park Street,OPEN
CASE-0065,FIR-2021-0065,Kidnapping,Kidnapping and Extortion Case at Howrah,IPC 363/364A,2021,Howrah,Howrah,Howrah Town,CLOSED
CASE-0066,FIR-2022-0066,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2022,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0067,FIR-2022-0067,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2022,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0068,FIR-2021-0068,Murder,Targeted Homicide Investigation in Kolkata,IPC 302/120B,2021,Kolkata,Kolkata,Park Street,CLOSED
CASE-0069,FIR-2023-0069,Extortion,Threat and Extortion Racket in Chennai,IPC 384/386,2023,Chennai,Chennai,Flower Bazaar,CLOSED
CASE-0070,FIR-2022-0070,Extortion,Threat and Extortion Racket in Bilaspur,IPC 384/386,2022,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0071,FIR-2022-0071,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2022,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0072,FIR-2022-0072,Burglary,Nocturnal Commercial Burglary in Siliguri,IPC 457/380,2022,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0073,FIR-2021-0073,Fraud,Commercial Fraud and Embezzlement Syndicate at Chennai,IPC 420/406,2021,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0074,FIR-2023-0074,Kidnapping,Kidnapping and Extortion Case at Howrah,IPC 363/364A,2023,Howrah,Howrah,Howrah Town,OPEN
CASE-0075,FIR-2021-0075,Robbery,Armed Robbery Incident at Siliguri,IPC 392/397,2021,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0076,FIR-2024-0076,Kidnapping,Kidnapping and Extortion Case at Durg,IPC 363/364A,2024,Durg,Durg,Durg Sadar,OPEN
CASE-0077,FIR-2022-0077,Theft,Serial Asset and Vehicle Theft in Mumbai,IPC 379,2022,Mumbai,Mumbai Suburban,Bandra,CLOSED
CASE-0078,FIR-2021-0078,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2021,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0079,FIR-2021-0079,Extortion,Threat and Extortion Racket in Durg,IPC 384/386,2021,Durg,Durg,Durg Sadar,CLOSED
CASE-0080,FIR-2021-0080,Fraud,Commercial Fraud and Embezzlement Syndicate at Nagpur,IPC 420/406,2021,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0081,FIR-2021-0081,Extortion,Threat and Extortion Racket in Nagpur,IPC 384/386,2021,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0082,FIR-2022-0082,Murder,Targeted Homicide Investigation in Siliguri,IPC 302/120B,2022,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0083,FIR-2022-0083,Theft,Serial Asset and Vehicle Theft in Varanasi,IPC 379,2022,Varanasi,Varanasi,Dashashwamedh,CLOSED
CASE-0084,FIR-2023-0084,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2023,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0085,FIR-2024-0085,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2024,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0086,FIR-2021-0086,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2021,Kolkata,Kolkata,Burrabazar,CLOSED
CASE-0087,FIR-2023-0087,Cybercrime,Digital Identity Theft and Financial Scam at Siliguri,IT Act 66D / IPC 420,2023,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0088,FIR-2021-0088,Burglary,Nocturnal Commercial Burglary in Ahmedabad,IPC 457/380,2021,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0089,FIR-2022-0089,Robbery,Armed Robbery Incident at Mumbai,IPC 392/397,2022,Mumbai,Mumbai City,Colaba,OPEN
CASE-0090,FIR-2024-0090,Cybercrime,Digital Identity Theft and Financial Scam at Raipur,IT Act 66D / IPC 420,2024,Raipur,Raipur,Civil Lines,OPEN
CASE-0091,FIR-2024-0091,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2024,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0092,FIR-2023-0092,Robbery,Armed Robbery Incident at Varanasi,IPC 392/397,2023,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0093,FIR-2024-0093,Criminal Intimidation,Intimidation and Witness Tampering at Durg,IPC 506,2024,Durg,Durg,Durg Sadar,OPEN
CASE-0094,FIR-2024-0094,Burglary,Nocturnal Commercial Burglary in Chennai,IPC 457/380,2024,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0095,FIR-2021-0095,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2021,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0096,FIR-2022-0096,Robbery,Armed Robbery Incident at Surat,IPC 392/397,2022,Surat,Surat,Varachha,CLOSED
CASE-0097,FIR-2021-0097,Forgery,Forged Documentation and Property Fraud in Nagpur,IPC 467/468/471,2021,Nagpur,Nagpur,Sitabuldi,OPEN
CASE-0098,FIR-2024-0098,Kidnapping,Kidnapping and Extortion Case at Nagpur,IPC 363/364A,2024,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0099,FIR-2023-0099,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2023,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0100,FIR-2024-0100,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2024,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0101,FIR-2022-0101,Assault,Physical Assault and Grievous Hurt Case at Delhi,IPC 323/325,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0102,FIR-2022-0102,Forgery,Forged Documentation and Property Fraud in Kolkata,IPC 467/468/471,2022,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0103,FIR-2021-0103,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2021,Delhi,Central Delhi,Connaught Place,CLOSED
CASE-0104,FIR-2021-0104,Robbery,Armed Robbery Incident at Nagpur,IPC 392/397,2021,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0105,FIR-2021-0105,Criminal Intimidation,Intimidation and Witness Tampering at Lucknow,IPC 506,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0106,FIR-2021-0106,Murder,Targeted Homicide Investigation in Raipur,IPC 302/120B,2021,Raipur,Raipur,Civil Lines,OPEN
CASE-0107,FIR-2022-0107,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2022,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0108,FIR-2022-0108,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2022,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0109,FIR-2023-0109,Burglary,Nocturnal Commercial Burglary in Siliguri,IPC 457/380,2023,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0110,FIR-2021-0110,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2021,Delhi,East Delhi,Preet Vihar,OPEN
CASE-0111,FIR-2021-0111,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2021,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0112,FIR-2022-0112,Cybercrime,Digital Identity Theft and Financial Scam at Surat,IT Act 66D / IPC 420,2022,Surat,Surat,Varachha,OPEN
CASE-0113,FIR-2023-0113,Robbery,Armed Robbery Incident at Delhi,IPC 392/397,2023,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0114,FIR-2022-0114,Assault,Physical Assault and Grievous Hurt Case at Mumbai,IPC 323/325,2022,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0115,FIR-2021-0115,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2021,Mumbai,Mumbai City,Colaba,OPEN
CASE-0116,FIR-2024-0116,Cybercrime,Digital Identity Theft and Financial Scam at Bilaspur,IT Act 66D / IPC 420,2024,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0117,FIR-2022-0117,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2022,Delhi,Central Delhi,Connaught Place,CLOSED
CASE-0118,FIR-2021-0118,Assault,Physical Assault and Grievous Hurt Case at Varanasi,IPC 323/325,2021,Varanasi,Varanasi,Dashashwamedh,CLOSED
CASE-0119,FIR-2023-0119,Burglary,Nocturnal Commercial Burglary in Ahmedabad,IPC 457/380,2023,Ahmedabad,Ahmedabad,Ellis Bridge,CLOSED
CASE-0120,FIR-2022-0120,Robbery,Armed Robbery Incident at Delhi,IPC 392/397,2022,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0121,FIR-2022-0121,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0122,FIR-2023-0122,Extortion,Threat and Extortion Racket in Kolkata,IPC 384/386,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0123,FIR-2022-0123,Theft,Serial Asset and Vehicle Theft in Kolkata,IPC 379,2022,Kolkata,Kolkata,Park Street,OPEN
CASE-0124,FIR-2021-0124,Assault,Physical Assault and Grievous Hurt Case at Howrah,IPC 323/325,2021,Howrah,Howrah,Howrah Town,OPEN
CASE-0125,FIR-2022-0125,Kidnapping,Kidnapping and Extortion Case at Mumbai,IPC 363/364A,2022,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0126,FIR-2022-0126,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2022,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0127,FIR-2021-0127,Murder,Targeted Homicide Investigation in Lucknow,IPC 302/120B,2021,Lucknow,Lucknow,Hazratganj,OPEN
CASE-0128,FIR-2021-0128,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2021,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0129,FIR-2023-0129,Fraud,Commercial Fraud and Embezzlement Syndicate at Kolkata,IPC 420/406,2023,Kolkata,Kolkata,Park Street,CLOSED
