organization_id,organization_name,organization_type,registration_number
ORG-0001,Ahmed Property Ventures,Property Ventures,REG-ORG-0001
ORG-0002,Sen Export House,Export House,REG-ORG-0002
ORG-0003,Yadav Export House,Export House,REG-ORG-0003
ORG-0004,Sharma Logistics Agency,Logistics Agency,REG-ORG-0004
ORG-0005,Banerjee Property Ventures,Property Ventures,REG-ORG-0005
ORG-0006,Mittal Consultancy Group,Consultancy Group,REG-ORG-0006
ORG-0007,Ghosh Trading Enterprise,Trading Enterprise,REG-ORG-0007
ORG-0008,Gupta Property Ventures,Property Ventures,REG-ORG-0008
ORG-0009,Ghosh Export House,Export House,REG-ORG-0009
ORG-0010,Mittal Property Ventures,Property Ventures,REG-ORG-0010
ORG-0011,Sharma Logistics Agency,Logistics Agency,REG-ORG-0011
ORG-0012,Sarkar Trading Enterprise,Trading Enterprise,REG-ORG-0012
ORG-0013,Banerjee Export House,Export House,REG-ORG-0013
ORG-0014,Pandey Property Ventures,Property Ventures,REG-ORG-0014
ORG-0015,Ali Trading Enterprise,Trading Enterprise,REG-ORG-0015
ORG-0016,Dutta Logistics Agency,Logistics Agency,REG-ORG-0016
ORG-0017,Mittal Logistics Agency,Logistics Agency,REG-ORG-0017
ORG-0018,Mittal Consultancy Group,Consultancy Group,REG-ORG-0018
ORG-0019,Bansal Security Services,Security Services,REG-ORG-0019
ORG-0020,Kaur Property Ventures,Property Ventures,REG-ORG-0020
ORG-0021,Das Property Ventures,Property Ventures,REG-ORG-0021
ORG-0022,Kumar Export House,Export House,REG-ORG-0022
ORG-0023,Chakraborty Trading Enterprise,Trading Enterprise,REG-ORG-0023
ORG-0024,Yadav Consultancy Group,Consultancy Group,REG-ORG-0024
ORG-0025,Chatterjee Trading Enterprise,Trading Enterprise,REG-ORG-0025
ORG-0026,Sen Export House,Export House,REG-ORG-0026
ORG-0027,Joshi Export House,Export House,REG-ORG-0027
ORG-0028,Ali Security Services,Security Services,REG-ORG-0028
ORG-0029,Singh Property Ventures,Property Ventures,REG-ORG-0029
ORG-0030,Ghosh Consultancy Group,Consultancy Group,REG-ORG-0030
