location_id,city,district,state,pincode,police_station
LOCATION-0001,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0002,Kolkata,Kolkata,West Bengal,700001,Park Street
LOCATION-0003,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0004,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0005,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0006,Siliguri,Darjeeling,West Bengal,734001,Siliguri PS
LOCATION-0007,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0008,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
LOCATION-0009,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0010,Lucknow,Lucknow,Uttar Pradesh,226001,Hazratganj
LOCATION-0011,Delhi,South Delhi,Delhi,110017,Hauz Khas
LOCATION-0012,Kolkata,Kolkata,West Bengal,700019,Ballygunge
LOCATION-0013,Kolkata,Kolkata,West Bengal,700001,Park Street
LOCATION-0014,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0015,Bilaspur,Bilaspur,Chhattisgarh,495001,City Kotwali
LOCATION-0016,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0017,Surat,Surat,Gujarat,395001,Varachha
LOCATION-0018,Varanasi,Varanasi,Uttar Pradesh,221001,Dashashwamedh
LOCATION-0019,Kolkata,Kolkata,West Bengal,700001,Park Street
LOCATION-0020,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
LOCATION-0021,Bilaspur,Bilaspur,Chhattisgarh,495001,City Kotwali
LOCATION-0022,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
LOCATION-0023,Delhi,South Delhi,Delhi,110017,Hauz Khas
LOCATION-0024,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0025,Delhi,East Delhi,Delhi,110092,Preet Vihar
LOCATION-0026,Lucknow,Lucknow,Uttar Pradesh,226001,Hazratganj
LOCATION-0027,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0028,Kolkata,Kolkata,West Bengal,700001,Park Street
LOCATION-0029,Raipur,Raipur,Chhattisgarh,492001,Civil Lines
LOCATION-0030,Delhi,South Delhi,Delhi,110017,Hauz Khas
LOCATION-0031,Pune,Pune,Maharashtra,411001,Shivajinagar
LOCATION-0032,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0033,Siliguri,Darjeeling,West Bengal,734001,Siliguri PS
LOCATION-0034,Bilaspur,Bilaspur,Chhattisgarh,495001,City Kotwali
LOCATION-0035,Pune,Pune,Maharashtra,411001,Shivajinagar
LOCATION-0036,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0037,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0038,Delhi,Central Delhi,Delhi,110001,Connaught Place
LOCATION-0039,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0040,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0041,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0042,Varanasi,Varanasi,Uttar Pradesh,221001,Dashashwamedh
LOCATION-0043,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0044,Kolkata,Kolkata,West Bengal,700019,Ballygunge
LOCATION-0045,Delhi,East Delhi,Delhi,110092,Preet Vihar
LOCATION-0046,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
LOCATION-0047,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0048,Delhi,Central Delhi,Delhi,110001,Connaught Place
LOCATION-0049,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0050,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
LOCATION-0051,Mumbai,Mumbai Suburban,Maharashtra,400050,Bandra
LOCATION-0052,Varanasi,Varanasi,Uttar Pradesh,221001,Dashashwamedh
LOCATION-0053,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0054,Lucknow,Lucknow,Uttar Pradesh,226001,Hazratganj
LOCATION-0055,Bilaspur,Bilaspur,Chhattisgarh,495001,City Kotwali
LOCATION-0056,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0057,Kolkata,Kolkata,West Bengal,700019,Ballygunge
LOCATION-0058,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0059,Mumbai,Mumbai Suburban,Maharashtra,400050,Bandra
LOCATION-0060,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0061,Durg,Durg,Chhattisgarh,491001,Durg Sadar
LOCATION-0062,Howrah,Howrah,West Bengal,711101,Howrah Town
LOCATION-0063,Delhi,Central Delhi,Delhi,110001,Connaught Place
LOCATION-0064,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0065,Delhi,East Delhi,Delhi,110092,Preet Vihar
LOCATION-0066,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0067,Raipur,Raipur,Chhattisgarh,492001,Civil Lines
LOCATION-0068,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0069,Nagpur,Nagpur,Maharashtra,440001,Sitabuldi
LOCATION-0070,Bilaspur,Bilaspur,Chhattisgarh,495001,City Kotwali
LOCATION-0071,Mumbai,Mumbai City,Maharashtra,400001,Colaba
LOCATION-0072,Kolkata,Kolkata,West Bengal,700007,Burrabazar
LOCATION-0073,Varanasi,Varanasi,Uttar Pradesh,221001,Dashashwamedh
LOCATION-0074,Raipur,Raipur,Chhattisgarh,492001,Civil Lines
LOCATION-0075,Chennai,Chennai,Tamil Nadu,600001,Flower Bazaar
