case_id,case_title,offence_category,legal_section,fir_number,date_opened,description,status,police_station,district,state,location_id
CASE-001,Synthetic Case Record 001 — Kidnapping — Raipur,Kidnapping,IPC 363,FIR-SYNTH-RAI-0001,2022-09-07,"Synthetic case record regarding kidnapping associated with registered case record in fictional scenario 1. District: Raipur, State: Chhattisgarh. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.1, Raipur",Raipur,Chhattisgarh,LOCATION-024
CASE-002,Synthetic Case Record 002 — Extortion — Raipur,Extortion,IPC 384,FIR-SYNTH-RAI-0002,2024-06-26,"Synthetic case record regarding extortion associated with registered case record in fictional scenario 2. District: Raipur, State: Chhattisgarh. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.7, Raipur",Raipur,Chhattisgarh,LOCATION-024
CASE-003,Synthetic Case Record 003 — Criminal Intimidation — Raipur,Criminal Intimidation,IPC 506,FIR-SYNTH-RAI-0003,2022-03-10,"Synthetic case record regarding criminal intimidation associated with registered case record in fictional scenario 3. District: Raipur, State: Chhattisgarh. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.12, Raipur",Raipur,Chhattisgarh,LOCATION-024
CASE-004,Synthetic Case Record 004 — Cybercrime — Kolkata,Cybercrime,IT Act 66C,FIR-SYNTH-KOL-0004,2022-07-12,"Synthetic case record regarding cybercrime associated with registered case record in fictional scenario 4. District: Kolkata, State: West Bengal. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.8, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-005,Synthetic Case Record 005 — Forgery — Kolkata,Forgery,IPC 465,FIR-SYNTH-KOL-0005,2024-03-07,"Synthetic case record regarding forgery associated with registered case record in fictional scenario 5. District: Kolkata, State: West Bengal. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.8, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-006,Synthetic Case Record 006 — Fraud — North 24 Parganas,Fraud,IPC 420,FIR-SYNTH-NOR-0006,2022-11-21,"Synthetic case record regarding fraud associated with registered case record in fictional scenario 6. District: North 24 Parganas, State: West Bengal. This record is for demonstration purposes only.",OPEN,"Fictional PS No.6, Kolkata",North 24 Parganas,West Bengal,LOCATION-002
CASE-007,Synthetic Case Record 007 — Theft — Mumbai City,Theft,IPC 379,FIR-SYNTH-MUM-0007,2025-01-30,"Synthetic case record regarding theft associated with registered case record in fictional scenario 7. District: Mumbai City, State: Maharashtra. This record is for demonstration purposes only.",OPEN,"Fictional PS No.12, Mumbai",Mumbai City,Maharashtra,LOCATION-004
CASE-008,Synthetic Case Record 008 — Robbery — Mumbai City,Robbery,IPC 392,FIR-SYNTH-MUM-0008,2024-09-12,"Synthetic case record regarding robbery associated with registered case record in fictional scenario 8. District: Mumbai City, State: Maharashtra. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.5, Mumbai",Mumbai City,Maharashtra,LOCATION-004
CASE-009,Synthetic Case Record 009 — Burglary — Pune,Burglary,IPC 457,FIR-SYNTH-PUN-0009,2024-01-09,"Synthetic case record regarding burglary associated with registered case record in fictional scenario 9. District: Pune, State: Maharashtra. This record is for demonstration purposes only.",OPEN,"Fictional PS No.4, Pune",Pune,Maharashtra,LOCATION-007
CASE-010,Synthetic Case Record 010 — Theft — Pune,Theft,IPC 379,FIR-SYNTH-PUN-0010,2023-03-23,"Synthetic case record regarding theft associated with registered case record in fictional scenario 10. District: Pune, State: Maharashtra. This record is for demonstration purposes only.",OPEN,"Fictional PS No.11, Pune",Pune,Maharashtra,LOCATION-007
