ground_truth_id,source_entity_id,target_entity_id,relationship_type,expected_relationship,case_id,evidence_reference
GT-0001,PERSON-0474,PERSON-0475,CONTACTED,1,CASE-0524,Synthetic telecommunication record: PERSON-0474 Arjun Gupta contacted PERSON-0475 Manoj Kumar via PHONE_CALL in relation to CASE-0524.
GT-0002,PERSON-0130,PERSON-0002,CONTACTED,1,CASE-1221,Synthetic telecommunication record: PERSON-0130 Santosh Jain contacted PERSON-0002 Rohit Singh via ENCRYPTED_CALL in relation to CASE-1221.
GT-0003,PERSON-0094,PERSON-0821,CONTACTED,1,CASE-0235,Synthetic telecommunication record: PERSON-0094 Subhash Joshi contacted PERSON-0821 Santosh Garg via SMS in relation to CASE-0235.
GT-0004,PERSON-0232,PERSON-0731,CONTACTED,1,CASE-0332,Synthetic telecommunication record: PERSON-0232 Lata Das contacted PERSON-0731 Deepak Joshi via PHONE_CALL in relation to CASE-0332.
GT-0005,PERSON-0194,PERSON-0442,CONTACTED,1,CASE-0371,Synthetic telecommunication record: PERSON-0194 Devendra Garg contacted PERSON-0442 Mamta Shukla via WHATSAPP in relation to CASE-0371.
GT-0006,PERSON-0663,PERSON-0815,CONTACTED,1,CASE-0203,Synthetic telecommunication record: PERSON-0663 Manju Ansari contacted PERSON-0815 Sumit Khan via WHATSAPP in relation to CASE-0203.
GT-0007,PERSON-0362,PERSON-0929,CONTACTED,1,CASE-0139,Synthetic telecommunication record: PERSON-0362 Mamta Yadav contacted PERSON-0929 Lata Ahmed via PHONE_CALL in relation to CASE-0139.
GT-0008,PERSON-0587,PERSON-0932,CONTACTED,1,CASE-1070,Synthetic telecommunication record: PERSON-0587 Alok Singhal contacted PERSON-0932 Harish Mukherjee via ENCRYPTED_CALL in relation to CASE-1070.
GT-0009,PERSON-0703,PERSON-0375,CONTACTED,1,CASE-0009,Synthetic telecommunication record: PERSON-0703 Abhishek Ahmed contacted PERSON-0375 Sumit Shukla via PHONE_CALL in relation to CASE-0009.
GT-0010,PERSON-0109,PERSON-0792,CONTACTED,1,CASE-0889,Synthetic telecommunication record: PERSON-0109 Suresh Siddiqui contacted PERSON-0792 Vivek Patel via PHONE_CALL in relation to CASE-0889.
GT-0011,PERSON-0448,PERSON-0217,CONTACTED,1,CASE-1031,Synthetic telecommunication record: PERSON-0448 Anil Ghosh contacted PERSON-0217 Rakesh Sarkar via SMS in relation to CASE-1031.
GT-0012,PERSON-0748,PERSON-0603,CONTACTED,1,CASE-0168,Synthetic telecommunication record: PERSON-0748 Jitendra Sen contacted PERSON-0603 Deepak Gupta via SMS in relation to CASE-0168.
GT-0013,PERSON-0768,PERSON-0475,CONTACTED,1,CASE-1166,Synthetic telecommunication record: PERSON-0768 Jyoti Ghosh contacted PERSON-0475 Manoj Kumar via ENCRYPTED_CALL in relation to CASE-1166.
GT-0014,PERSON-0721,PERSON-0708,CONTACTED,1,CASE-0343,Synthetic telecommunication record: PERSON-0721 Dharmendra Singhal contacted PERSON-0708 Nitin Bose via PHONE_CALL in relation to CASE-0343.
GT-0015,PERSON-0570,PERSON-0530,CONTACTED,1,CASE-0782,Synthetic telecommunication record: PERSON-0570 Ashok Mittal contacted PERSON-0530 Vivek Khan via PHONE_CALL in relation to CASE-0782.
GT-0016,PERSON-0769,PERSON-0792,CONTACTED,1,CASE-0104,Synthetic telecommunication record: PERSON-0769 Alok Goyal contacted PERSON-0792 Vivek Patel via SMS in relation to CASE-0104.
GT-0017,PERSON-0491,PERSON-0548,CONTACTED,1,CASE-0485,Synthetic telecommunication record: PERSON-0491 Kamla Kaur contacted PERSON-0548 Jitendra Ali via WHATSAPP in relation to CASE-0485.
GT-0018,PERSON-0561,PERSON-0385,CONTACTED,1,CASE-0138,Synthetic telecommunication record: PERSON-0561 Santosh Kumar contacted PERSON-0385 Ramesh Sarkar via WHATSAPP in relation to CASE-0138.
GT-0019,PERSON-0931,PERSON-0596,CONTACTED,1,CASE-1042,Synthetic telecommunication record: PERSON-0931 Suresh Dutta contacted PERSON-0596 Asha Ghosh via ENCRYPTED_CALL in relation to CASE-1042.
GT-0020,PERSON-0823,PERSON-0522,CONTACTED,1,CASE-0354,Synthetic telecommunication record: PERSON-0823 Neetu Chatterjee contacted PERSON-0522 Meena Hussain via SMS in relation to CASE-0354.
GT-0021,PERSON-0985,PERSON-0904,CONTACTED,1,CASE-0680,Synthetic telecommunication record: PERSON-0985 Pradeep Goyal contacted PERSON-0904 Ritu Pandey via SMS in relation to CASE-0680.
GT-0022,PERSON-0674,PERSON-0099,CONTACTED,1,CASE-0110,Synthetic telecommunication record: PERSON-0674 Nitin Patel contacted PERSON-0099 Sumit Bose via WHATSAPP in relation to CASE-0110.
GT-0023,PERSON-0740,PERSON-0773,CONTACTED,1,CASE-0345,Synthetic telecommunication record: PERSON-0740 Vandana Singh contacted PERSON-0773 Sunita Sen via ENCRYPTED_CALL in relation to CASE-0345.
GT-0024,PERSON-0002,PERSON-0056,CONTACTED,1,CASE-0333,Synthetic telecommunication record: PERSON-0002 Rohit Singh contacted PERSON-0056 Pawan Bhattacharya via WHATSAPP in relation to CASE-0333.
GT-0025,PERSON-0219,PERSON-0630,CONTACTED,1,CASE-1129,Synthetic telecommunication record: PERSON-0219 Abhishek Gupta contacted PERSON-0630 Rohit Bose via SMS in relation to CASE-1129.
GT-0026,PERSON-0131,PERSON-0641,CONTACTED,1,CASE-1100,Synthetic telecommunication record: PERSON-0131 Mukesh Garg contacted PERSON-0641 Kunal Ghosh via WHATSAPP in relation to CASE-1100.
GT-0027,PERSON-0679,PERSON-0969,CONTACTED,1,CASE-0278,Synthetic telecommunication record: PERSON-0679 Santosh Kumar contacted PERSON-0969 Seema Singhal via WHATSAPP in relation to CASE-0278.
GT-0028,PERSON-0259,PERSON-0091,CONTACTED,1,CASE-0122,Synthetic telecommunication record: PERSON-0259 Vikram Shukla contacted PERSON-0091 Pushpa Verma via SMS in relation to CASE-0122.
GT-0029,PERSON-0499,PERSON-0286,CONTACTED,1,CASE-0571,Synthetic telecommunication record: PERSON-0499 Arjun Gupta contacted PERSON-0286 Ajay Chatterjee via WHATSAPP in relation to CASE-0571.
GT-0030,PERSON-0947,PERSON-0768,CONTACTED,1,CASE-0270,Synthetic telecommunication record: PERSON-0947 Sumit Ali contacted PERSON-0768 Jyoti Ghosh via PHONE_CALL in relation to CASE-0270.
GT-0031,PERSON-0432,PERSON-0998,CONTACTED,1,CASE-0136,Synthetic telecommunication record: PERSON-0432 Dharmendra Goyal contacted PERSON-0998 Pankaj Yadav via SMS in relation to CASE-0136.
GT-0032,PERSON-0617,PERSON-0728,CONTACTED,1,CASE-1183,Synthetic telecommunication record: PERSON-0617 Rohit Singhal contacted PERSON-0728 Manoj Tiwari via WHATSAPP in relation to CASE-1183.
GT-0033,PERSON-0690,PERSON-0130,CONTACTED,1,CASE-0021,Synthetic telecommunication record: PERSON-0690 Subhash Qureshi contacted PERSON-0130 Santosh Jain via PHONE_CALL in relation to CASE-0021.
GT-0034,PERSON-0037,PERSON-0650,CONTACTED,1,CASE-0262,Synthetic telecommunication record: PERSON-0037 Vivek Banerjee contacted PERSON-0650 Abhishek Ahmed via WHATSAPP in relation to CASE-0262.
GT-0035,PERSON-0284,PERSON-0960,CONTACTED,1,CASE-0104,Synthetic telecommunication record: PERSON-0284 Vivek Kaur contacted PERSON-0960 Vikram Ali via WHATSAPP in relation to CASE-0104.
GT-0036,PERSON-0873,PERSON-0135,CONTACTED,1,CASE-0449,Synthetic telecommunication record: PERSON-0873 Vivek Das contacted PERSON-0135 Devendra Mehta via WHATSAPP in relation to CASE-0449.
GT-0037,PERSON-0510,PERSON-0368,CONTACTED,1,CASE-0899,Synthetic telecommunication record: PERSON-0510 Pankaj Pandey contacted PERSON-0368 Rajesh Sarkar via WHATSAPP in relation to CASE-0899.
GT-0038,PERSON-0250,PERSON-0382,CONTACTED,1,CASE-0212,Synthetic telecommunication record: PERSON-0250 Pankaj Banerjee contacted PERSON-0382 Amit Roy via WHATSAPP in relation to CASE-0212.
GT-0039,PERSON-0921,PERSON-0796,CONTACTED,1,CASE-0085,Synthetic telecommunication record: PERSON-0921 Pankaj Mehta contacted PERSON-0796 Seema Mehta via WHATSAPP in relation to CASE-0085.
GT-0040,PERSON-0096,PERSON-0428,CONTACTED,1,CASE-1031,Synthetic telecommunication record: PERSON-0096 Anita Tiwari contacted PERSON-0428 Mukesh Qureshi via SMS in relation to CASE-1031.
GT-0041,PERSON-0417,PERSON-0260,CONTACTED,1,CASE-0097,Synthetic telecommunication record: PERSON-0417 Pawan Hussain contacted PERSON-0260 Sunil Siddiqui via ENCRYPTED_CALL in relation to CASE-0097.
GT-0042,PERSON-0003,PERSON-0699,CONTACTED,1,CASE-0404,Synthetic telecommunication record: PERSON-0003 Vijay Banerjee contacted PERSON-0699 Vijay Mishra via PHONE_CALL in relation to CASE-0404.
GT-0043,PERSON-0733,PERSON-0813,CONTACTED,1,CASE-0706,Synthetic telecommunication record: PERSON-0733 Ramesh Verma contacted PERSON-0813 Sunita Hussain via WHATSAPP in relation to CASE-0706.
GT-0044,PERSON-0468,PERSON-0471,CONTACTED,1,CASE-0902,Synthetic telecommunication record: PERSON-0468 Asha Mittal contacted PERSON-0471 Kiran Ahmed via SMS in relation to CASE-0902.
GT-0045,PERSON-0925,PERSON-0599,CONTACTED,1,CASE-0815,Synthetic telecommunication record: PERSON-0925 Sushma Das contacted PERSON-0599 Shobha Khan via PHONE_CALL in relation to CASE-0815.
GT-0046,PERSON-0230,PERSON-0136,CONTACTED,1,CASE-1101,Synthetic telecommunication record: PERSON-0230 Sunil Mittal contacted PERSON-0136 Shashi Ahmed via PHONE_CALL in relation to CASE-1101.
GT-0047,PERSON-0668,PERSON-0166,CONTACTED,1,CASE-0047,Synthetic telecommunication record: PERSON-0668 Suresh Patel contacted PERSON-0166 Rajesh Goyal via PHONE_CALL in relation to CASE-0047.
GT-0048,PERSON-0700,PERSON-0905,CONTACTED,1,CASE-0852,Synthetic telecommunication record: PERSON-0700 Alok Qureshi contacted PERSON-0905 Vandana Qureshi via PHONE_CALL in relation to CASE-0852.
GT-0049,PERSON-0306,PERSON-0388,CONTACTED,1,CASE-0962,Synthetic telecommunication record: PERSON-0306 Harish Tiwari contacted PERSON-0388 Dinesh Jain via PHONE_CALL in relation to CASE-0962.
GT-0050,PERSON-0597,PERSON-0768,CONTACTED,1,CASE-0326,Synthetic telecommunication record: PERSON-0597 Pooja Das contacted PERSON-0768 Jyoti Ghosh via WHATSAPP in relation to CASE-0326.
GT-0051,PERSON-0967,PERSON-0805,CONTACTED,1,CASE-0245,Synthetic telecommunication record: PERSON-0967 Lata Garg contacted PERSON-0805 Alok Gupta via PHONE_CALL in relation to CASE-0245.
GT-0052,PERSON-0254,PERSON-0863,CONTACTED,1,CASE-0540,Synthetic telecommunication record: PERSON-0254 Nitin Pandey contacted PERSON-0863 Dinesh Agarwal via SMS in relation to CASE-0540.
GT-0053,PERSON-0635,PERSON-0397,CONTACTED,1,CASE-0137,Synthetic telecommunication record: PERSON-0635 Harish Sarkar contacted PERSON-0397 Shashi Garg via ENCRYPTED_CALL in relation to CASE-0137.
GT-0054,PERSON-0155,PERSON-0582,CONTACTED,1,CASE-0333,Synthetic telecommunication record: PERSON-0155 Neetu Chakraborty contacted PERSON-0582 Kamla Ansari via PHONE_CALL in relation to CASE-0333.
GT-0055,PERSON-0962,PERSON-0122,CONTACTED,1,CASE-0416,Synthetic telecommunication record: PERSON-0962 Poonam Mehta contacted PERSON-0122 Rajesh Tiwari via ENCRYPTED_CALL in relation to CASE-0416.
GT-0056,PERSON-0015,PERSON-0514,CONTACTED,1,CASE-0998,Synthetic telecommunication record: PERSON-0015 Harish Bhattacharya contacted PERSON-0514 Kunal Kumar via PHONE_CALL in relation to CASE-0998.
GT-0057,PERSON-0416,PERSON-0571,CONTACTED,1,CASE-0752,Synthetic telecommunication record: PERSON-0416 Mukesh Qureshi contacted PERSON-0571 Rajesh Sarkar via SMS in relation to CASE-0752.
GT-0058,PERSON-0862,PERSON-0993,CONTACTED,1,CASE-0856,Synthetic telecommunication record: PERSON-0862 Rakesh Mehta contacted PERSON-0993 Anita Hussain via ENCRYPTED_CALL in relation to CASE-0856.
GT-0059,PERSON-0977,PERSON-0772,CONTACTED,1,CASE-0944,Synthetic telecommunication record: PERSON-0977 Alok Singhal contacted PERSON-0772 Harish Garg via PHONE_CALL in relation to CASE-0944.
GT-0060,PERSON-0240,PERSON-0718,CONTACTED,1,CASE-0785,Synthetic telecommunication record: PERSON-0240 Sanjay Bhattacharya contacted PERSON-0718 Radha Singh via ENCRYPTED_CALL in relation to CASE-0785.
GT-0061,PERSON-0087,PERSON-0585,CONTACTED,1,CASE-0314,Synthetic telecommunication record: PERSON-0087 Satish Sarkar contacted PERSON-0585 Pankaj Khan via ENCRYPTED_CALL in relation to CASE-0314.
GT-0062,PERSON-0371,PERSON-0062,CONTACTED,1,CASE-0742,Synthetic telecommunication record: PERSON-0371 Amit Goyal contacted PERSON-0062 Ritu Bansal via SMS in relation to CASE-0742.
GT-0063,PERSON-0294,PERSON-0798,CONTACTED,1,CASE-1191,Synthetic telecommunication record: PERSON-0294 Harish Sharma contacted PERSON-0798 Devendra Mittal via SMS in relation to CASE-1191.
GT-0064,PERSON-0672,PERSON-0038,CONTACTED,1,CASE-0616,Synthetic telecommunication record: PERSON-0672 Ajay Kumar contacted PERSON-0038 Sachin Chakraborty via ENCRYPTED_CALL in relation to CASE-0616.
GT-0065,PERSON-0401,PERSON-0202,CONTACTED,1,CASE-0884,Synthetic telecommunication record: PERSON-0401 Seema Gupta contacted PERSON-0202 Amit Roy via SMS in relation to CASE-0884.
GT-0066,PERSON-0789,PERSON-0194,CONTACTED,1,CASE-1239,Synthetic telecommunication record: PERSON-0789 Santosh Garg contacted PERSON-0194 Devendra Garg via WHATSAPP in relation to CASE-1239.
GT-0067,PERSON-0427,PERSON-0353,CONTACTED,1,CASE-1163,Synthetic telecommunication record: PERSON-0427 Nitin Joshi contacted PERSON-0353 Asha Gupta via PHONE_CALL in relation to CASE-1163.
GT-0068,PERSON-0663,PERSON-0620,CONTACTED,1,CASE-0620,Synthetic telecommunication record: PERSON-0663 Manju Ansari contacted PERSON-0620 Rohit Qureshi via ENCRYPTED_CALL in relation to CASE-0620.
GT-0069,PERSON-0465,PERSON-0195,CONTACTED,1,CASE-0343,Synthetic telecommunication record: PERSON-0465 Devendra Kaur contacted PERSON-0195 Kiran Ghosh via WHATSAPP in relation to CASE-0343.
GT-0070,PERSON-0395,PERSON-0138,CONTACTED,1,CASE-0346,Synthetic telecommunication record: PERSON-0395 Sanjay Singh contacted PERSON-0138 Vandana Goyal via ENCRYPTED_CALL in relation to CASE-0346.
GT-0071,PERSON-0091,PERSON-0303,CONTACTED,1,CASE-0241,Synthetic telecommunication record: PERSON-0091 Pushpa Verma contacted PERSON-0303 Ramesh Mishra via WHATSAPP in relation to CASE-0241.
GT-0072,PERSON-0222,PERSON-0805,CONTACTED,1,CASE-0524,Synthetic telecommunication record: PERSON-0222 Sachin Patel contacted PERSON-0805 Alok Gupta via ENCRYPTED_CALL in relation to CASE-0524.
GT-0073,PERSON-0942,PERSON-0849,CONTACTED,1,CASE-0282,Synthetic telecommunication record: PERSON-0942 Devendra Roy contacted PERSON-0849 Archana Sen via SMS in relation to CASE-0282.
GT-0074,PERSON-0713,PERSON-0329,CONTACTED,1,CASE-1137,Synthetic telecommunication record: PERSON-0713 Pawan Hussain contacted PERSON-0329 Manish Dutta via SMS in relation to CASE-1137.
GT-0075,PERSON-0104,PERSON-0696,CONTACTED,1,CASE-0310,Synthetic telecommunication record: PERSON-0104 Reena Mishra contacted PERSON-0696 Kunal Sharma via PHONE_CALL in relation to CASE-0310.
GT-0076,PERSON-0753,PERSON-0505,CONTACTED,1,CASE-1094,Synthetic telecommunication record: PERSON-0753 Sachin Agarwal contacted PERSON-0505 Amit Kaur via PHONE_CALL in relation to CASE-1094.
GT-0077,PERSON-0152,PERSON-0655,CONTACTED,1,CASE-0835,Synthetic telecommunication record: PERSON-0152 Suresh Das contacted PERSON-0655 Usha Qureshi via WHATSAPP in relation to CASE-0835.
GT-0078,PERSON-0930,PERSON-0841,CONTACTED,1,CASE-0638,Synthetic telecommunication record: PERSON-0930 Rakesh Pandey contacted PERSON-0841 Manish Bhattacharya via PHONE_CALL in relation to CASE-0638.
GT-0079,PERSON-0585,PERSON-0700,CONTACTED,1,CASE-1231,Synthetic telecommunication record: PERSON-0585 Pankaj Khan contacted PERSON-0700 Alok Qureshi via ENCRYPTED_CALL in relation to CASE-1231.
GT-0080,PERSON-0226,PERSON-0206,CONTACTED,1,CASE-0540,Synthetic telecommunication record: PERSON-0226 Sarita Pandey contacted PERSON-0206 Satish Bansal via SMS in relation to CASE-0540.
GT-0081,PERSON-0909,PERSON-0138,CONTACTED,1,CASE-0491,Synthetic telecommunication record: PERSON-0909 Naveen Singh contacted PERSON-0138 Vandana Goyal via SMS in relation to CASE-0491.
GT-0082,PERSON-0998,PERSON-0981,CONTACTED,1,CASE-0944,Synthetic telecommunication record: PERSON-0998 Pankaj Yadav contacted PERSON-0981 Naveen Mukherjee via WHATSAPP in relation to CASE-0944.
GT-0083,PERSON-0683,PERSON-0059,CONTACTED,1,CASE-0749,Synthetic telecommunication record: PERSON-0683 Vandana Das contacted PERSON-0059 Jitendra Sharma via SMS in relation to CASE-0749.
GT-0084,PERSON-0242,PERSON-0231,CONTACTED,1,CASE-1089,Synthetic telecommunication record: PERSON-0242 Hemant Mishra contacted PERSON-0231 Rahul Bose via WHATSAPP in relation to CASE-1089.
GT-0085,PERSON-0973,PERSON-0208,CONTACTED,1,CASE-0534,Synthetic telecommunication record: PERSON-0973 Manish Pandey contacted PERSON-0208 Subhash Bose via PHONE_CALL in relation to CASE-0534.
GT-0086,PERSON-0080,PERSON-0081,CONTACTED,1,CASE-0494,Synthetic telecommunication record: PERSON-0080 Hemant Joshi contacted PERSON-0081 Radha Verma via SMS in relation to CASE-0494.
GT-0087,PERSON-0512,PERSON-0416,CONTACTED,1,CASE-1084,Synthetic telecommunication record: PERSON-0512 Arjun Kaur contacted PERSON-0416 Mukesh Qureshi via PHONE_CALL in relation to CASE-1084.
GT-0088,PERSON-0737,PERSON-0274,CONTACTED,1,CASE-0766,Synthetic telecommunication record: PERSON-0737 Manish Mehta contacted PERSON-0274 Ajay Bhattacharya via SMS in relation to CASE-0766.
GT-0089,PERSON-0798,PERSON-0746,CONTACTED,1,CASE-0957,Synthetic telecommunication record: PERSON-0798 Devendra Mittal contacted PERSON-0746 Rohit Shukla via ENCRYPTED_CALL in relation to CASE-0957.
GT-0090,PERSON-0692,PERSON-0276,CONTACTED,1,CASE-1155,Synthetic telecommunication record: PERSON-0692 Seema Singhal contacted PERSON-0276 Poonam Qureshi via ENCRYPTED_CALL in relation to CASE-1155.
GT-0091,PERSON-0816,PERSON-0465,CONTACTED,1,CASE-0678,Synthetic telecommunication record: PERSON-0816 Rajesh Verma contacted PERSON-0465 Devendra Kaur via ENCRYPTED_CALL in relation to CASE-0678.
GT-0092,PERSON-0730,PERSON-0917,CONTACTED,1,CASE-1202,Synthetic telecommunication record: PERSON-0730 Gaurav Chakraborty contacted PERSON-0917 Jyoti Mittal via SMS in relation to CASE-1202.
GT-0093,PERSON-0970,PERSON-0205,CONTACTED,1,CASE-0688,Synthetic telecommunication record: PERSON-0970 Subhash Bose contacted PERSON-0205 Gaurav Shukla via SMS in relation to CASE-0688.
GT-0094,PERSON-0448,PERSON-0380,CONTACTED,1,CASE-0492,Synthetic telecommunication record: PERSON-0448 Anil Ghosh contacted PERSON-0380 Seema Banerjee via ENCRYPTED_CALL in relation to CASE-0492.
GT-0095,PERSON-0403,PERSON-0396,CONTACTED,1,CASE-0555,Synthetic telecommunication record: PERSON-0403 Sushma Joshi contacted PERSON-0396 Shashi Pandey via ENCRYPTED_CALL in relation to CASE-0555.
