txn_id,case_id,amount,description
ADV-TXN-0001,CASE-0052,13372.28,PERSON-0655 transferred 13372.28 INR to PERSON-0115 for contraband.
ADV-TXN-0002,CASE-1117,6787.83,PERSON-0105 transferred 6787.83 INR to PERSON-0693 for contraband.
ADV-TXN-0003,CASE-1035,47961.18,PERSON-0224 transferred 47961.18 INR to PERSON-0239 for contraband.
ADV-TXN-0004,CASE-0860,53565.83,PERSON-0719 transferred 53565.83 INR to PERSON-0559 for contraband.
ADV-TXN-0005,CASE-0327,14328.77,PERSON-0007 transferred 14328.77 INR to PERSON-0778 for contraband.
ADV-TXN-0006,CASE-0690,26538.76,PERSON-0981 transferred 26538.76 INR to PERSON-0782 for contraband.
ADV-TXN-0007,CASE-0542,37173.69,PERSON-0353 transferred 37173.69 INR to PERSON-0619 for contraband.
ADV-TXN-0008,CASE-0776,39641.13,PERSON-0997 transferred 39641.13 INR to PERSON-0945 for contraband.
ADV-TXN-0009,CASE-0094,64113.29,PERSON-0722 transferred 64113.29 INR to PERSON-0072 for contraband.
ADV-TXN-0010,CASE-0207,14759.25,PERSON-0876 transferred 14759.25 INR to PERSON-0239 for contraband.
ADV-TXN-0011,CASE-0547,43882.12,PERSON-0364 transferred 43882.12 INR to PERSON-0215 for contraband.
ADV-TXN-0012,CASE-0351,14804.15,PERSON-0624 transferred 14804.15 INR to PERSON-0651 for contraband.
ADV-TXN-0013,CASE-1141,18742.88,PERSON-0389 transferred 18742.88 INR to PERSON-0277 for contraband.
ADV-TXN-0014,CASE-0647,59788.17,PERSON-0033 transferred 59788.17 INR to PERSON-0825 for contraband.
ADV-TXN-0015,CASE-0645,58080.99,PERSON-0581 transferred 58080.99 INR to PERSON-0898 for contraband.
ADV-TXN-0016,CASE-0293,20764.5,PERSON-0659 transferred 20764.5 INR to PERSON-0470 for contraband.
ADV-TXN-0017,CASE-1196,35571.58,PERSON-0599 transferred 35571.58 INR to PERSON-0439 for contraband.
ADV-TXN-0018,CASE-0097,52524.76,PERSON-0094 transferred 52524.76 INR to PERSON-0774 for contraband.
ADV-TXN-0019,CASE-0131,36746.86,PERSON-0433 transferred 36746.86 INR to PERSON-0611 for contraband.
ADV-TXN-0020,CASE-0024,45902.62,PERSON-0995 transferred 45902.62 INR to PERSON-0567 for contraband.
ADV-TXN-0021,CASE-0547,22610.01,PERSON-0550 transferred 22610.01 INR to PERSON-0769 for contraband.
ADV-TXN-0022,CASE-0007,48180.84,PERSON-0162 transferred 48180.84 INR to PERSON-0465 for contraband.
ADV-TXN-0023,CASE-0366,57231.11,PERSON-0996 transferred 57231.11 INR to PERSON-0513 for contraband.
ADV-TXN-0024,CASE-1040,50750.65,PERSON-0306 transferred 50750.65 INR to PERSON-0862 for contraband.
ADV-TXN-0025,CASE-1087,34316.34,PERSON-0553 transferred 34316.34 INR to PERSON-0977 for contraband.
ADV-TXN-0026,CASE-0744,53406.49,PERSON-0115 transferred 53406.49 INR to PERSON-0952 for contraband.
ADV-TXN-0027,CASE-0494,10139.21,PERSON-0246 transferred 10139.21 INR to PERSON-0060 for contraband.
ADV-TXN-0028,CASE-0142,50950.07,PERSON-0498 transferred 50950.07 INR to PERSON-0836 for contraband.
ADV-TXN-0029,CASE-0974,36660.43,PERSON-0132 transferred 36660.43 INR to PERSON-0676 for contraband.
ADV-TXN-0030,CASE-0434,47776.94,PERSON-0622 transferred 47776.94 INR to PERSON-0434 for contraband.
ADV-TXN-0031,CASE-0765,32089.17,PERSON-0409 transferred 32089.17 INR to PERSON-0688 for contraband.
ADV-TXN-0032,CASE-0132,40306.41,PERSON-0254 transferred 40306.41 INR to PERSON-0231 for contraband.
ADV-TXN-0033,CASE-0121,56578.12,PERSON-0008 transferred 56578.12 INR to PERSON-0073 for contraband.
ADV-TXN-0034,CASE-0488,37354.04,PERSON-0073 transferred 37354.04 INR to PERSON-0527 for contraband.
ADV-TXN-0035,CASE-1170,53449.82,PERSON-0741 transferred 53449.82 INR to PERSON-0958 for contraband.
ADV-TXN-0036,CASE-0199,29666.14,PERSON-0195 transferred 29666.14 INR to PERSON-0097 for contraband.
ADV-TXN-0037,CASE-0111,8636.76,PERSON-0885 transferred 8636.76 INR to PERSON-0747 for contraband.
ADV-TXN-0038,CASE-0224,31916.81,PERSON-0746 transferred 31916.81 INR to PERSON-0348 for contraband.
ADV-TXN-0039,CASE-0571,31587.84,PERSON-0433 transferred 31587.84 INR to PERSON-0188 for contraband.
ADV-TXN-0040,CASE-1128,55161.66,PERSON-0883 transferred 55161.66 INR to PERSON-0877 for contraband.
ADV-TXN-0041,CASE-0485,17824.84,PERSON-0993 transferred 17824.84 INR to PERSON-0096 for contraband.
ADV-TXN-0042,CASE-0121,20912.18,PERSON-0411 transferred 20912.18 INR to PERSON-0925 for contraband.
ADV-TXN-0043,CASE-0932,14287.81,PERSON-0803 transferred 14287.81 INR to PERSON-0804 for contraband.
ADV-TXN-0044,CASE-0120,8657.45,PERSON-0304 transferred 8657.45 INR to PERSON-0223 for contraband.
ADV-TXN-0045,CASE-0103,14445.96,PERSON-0322 transferred 14445.96 INR to PERSON-0059 for contraband.
ADV-TXN-0046,CASE-0165,45512.75,PERSON-0984 transferred 45512.75 INR to PERSON-0521 for contraband.
ADV-TXN-0047,CASE-0246,19772.92,PERSON-0241 transferred 19772.92 INR to PERSON-0414 for contraband.
ADV-TXN-0048,CASE-0168,23982.19,PERSON-0609 transferred 23982.19 INR to PERSON-0041 for contraband.
ADV-TXN-0049,CASE-0644,45301.41,PERSON-0268 transferred 45301.41 INR to PERSON-0210 for contraband.
ADV-TXN-0050,CASE-0648,9352.59,PERSON-0308 transferred 9352.59 INR to PERSON-0469 for contraband.
ADV-TXN-0051,CASE-1154,35353.08,PERSON-0470 transferred 35353.08 INR to PERSON-0637 for contraband.
ADV-TXN-0052,CASE-0715,27171.63,PERSON-0136 transferred 27171.63 INR to PERSON-0956 for contraband.
ADV-TXN-0053,CASE-1113,5469.39,PERSON-0162 transferred 5469.39 INR to PERSON-0449 for contraband.
ADV-TXN-0054,CASE-0614,20867.96,PERSON-0837 transferred 20867.96 INR to PERSON-0568 for contraband.
ADV-TXN-0055,CASE-1134,48056.73,PERSON-0912 transferred 48056.73 INR to PERSON-0110 for contraband.
ADV-TXN-0056,CASE-0541,10537.91,PERSON-0209 transferred 10537.91 INR to PERSON-0704 for contraband.
ADV-TXN-0057,CASE-0567,43226.8,PERSON-0434 transferred 43226.8 INR to PERSON-0850 for contraband.
ADV-TXN-0058,CASE-0905,38654.41,PERSON-0269 transferred 38654.41 INR to PERSON-0166 for contraband.
ADV-TXN-0059,CASE-0306,39950.57,PERSON-0115 transferred 39950.57 INR to PERSON-0078 for contraband.
ADV-TXN-0060,CASE-0262,58935.48,PERSON-0152 transferred 58935.48 INR to PERSON-0441 for contraband.
ADV-TXN-0061,CASE-0512,63430.22,PERSON-0216 transferred 63430.22 INR to PERSON-0699 for contraband.
ADV-TXN-0062,CASE-0485,57884.97,PERSON-0768 transferred 57884.97 INR to PERSON-0159 for contraband.
